ISIN,Security Name,BSE,NSE,Alias name
INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Limited,500645,DEEPAKFERT,Deepak Fertilizers &Petrochemicals
INE288B01029,Deepak Nitrite Limited,506401,DEEPAKNTR,
INE272C01013,Deepak Spinners Ltd.,514030,,
INE0ZE201010,Defrail Technologies Limited,544677,,
INE148O01028,Delhivery Limited,543529,DELHIVERY,
INE726L01027,DELPHI WORLD MONEY LIMITED,533452,DELPHIFX,
INE124G01033,Delta Corp Limited,532848,DELTACORP,
INE681Q01015,Delta Industrial Resources Limited,539596,,
INE393A01011,Delta Manufacturing Limited,504286,DELTAMAGNT,
INE872E01016,Delton Cables Ltd.,504240,,
INE947J01015,Den Networks Limited,533137,DEN,
INE051G01012,Denis Chem Lab Limited,537536,,
INE0R4L01018,Denta Water and Infra Solutions Limited,544345,DENTA,
INE0TGG01014,Desco Infratech Limited,544387,,
INE971E01016,Desh Rakshak Aushdhalaya Ltd.,531521,,
INE358F01013,Desi Farms India Limited,507984,,
INE0VOV01021,Dev Accelerator Limited,544513,DEVX,
INE060X01034,Dev Information Technology Limited,543462,DEVIT,
INE0NIJ01025,Dev Labtech Venture Limited,543848,,
INE455C01014,Devine Impex Limited,531585,,
INE07LH01016,Devinsu Trading Ltd.,512445,,
INE872J01023,Devyani International Limited,543330,DEVYANI,
INE260R01016,Dhabriya Polywood Limited,538715,,
INE0I3401014,Dhampur Bio Organics Limited,543593,DBOL,
INE041A01016,Dhampur Sugar Mills Limited,500119,DHAMPURSUG,
INE956B01013,Dhampure Speciality Sugars Ltd.,531923,,
INE220C01012,Dhanalaxmi Roto Spinners Ltd.,521216,,
INE413F01016,Dhanashree Electronics Limited,542679,,
INE680A01011,Dhanlaxmi Bank Limited,532180,DHANBANK,
INE680A20011,Dhanlaxmi Bank Limited,750942,,
INE977F01010,Dhanlaxmi Cotex Ltd.,512485,,
INE953D01016,Dhanlaxmi Fabrics Ltd.,521151,,
INE195E01020,DHANSAFAL FINSERVE LIMITED,512048,,
INE435G01025,Dhanuka Agritech Limited,507717,DHANUKA,
INE239F01015,Dhanvantri Jeevan Rekha Ltd.,531043,,
INE278R01034,DHARAN INFRA-EPC LIMITED,541161,DHARAN,
INE899D01011,Dharani Finance Ltd.,511451,,
INE00OQ01016,Dharmaj Crop Guard Limited,543687,DHARMAJ,
INE0M9Q01011,DHARNI CAPITAL SERVICES LIMITED,543753,,
INE715T01031,Dhatre Udyog Limited,540080,,
INE758D01027,Dhenu Buildcon Infra Limited,501945,,
INE0SPJ01011,Dhillon Freight Carrier Limited,544556,,
INE313G01016,Dhoot Industrial Finance Ltd.,526971,,
INE590D01016,DHP India Ltd.,531306,,
INE506Z01015,Dhruv Consultancy Services Limited,541302,DHRUV,
INE972E01014,Dhruva Capital Services Ltd.,531237,,
INE320L01011,Dhunseri Investments Limited,533336,DHUNINV,
INE341R01014,Dhunseri Tea & Industries Limited,538902,DTIL,
INE477B01010,Dhunseri Ventures Limited,523736,DVL,
INE0K5F01014,DHYAANI TRADEVENTTURES LIMITED,543516,,
INE591D01014,Diamines & Chemicals Limited,500120,DIAMINESQ,
INE989C01038,Diamond Power Infrastructure Limited,522163,DIACABS,
INE012E01035,Diana Tea Co.Ltd.,530959,,
INE303A01010,DIC India Limited,500089,DICIND,
INE184O01015,Diffusion Engineers Limited,544264,DIFFNKG,
INE158R01012,Diggi Multitrade Limited,540811,,
INE03JI01017,Digicontent Limited,542685,DGCONTENT,
INE0PSC01024,Digidrive Distributors Limited,544079,DIGIDRIVE,
INE1OOT01028,DIGILOGIC SYSTEMS LIMITED,544684,,
INE927C01020,DiGiSPICE Technologies Limited,517214,DIGISPICE,
INE0U4701011,Digitide Solutions Limited,544413,DIGITIDE,
INE731U01028,Digjam Limited,539979,DIGJAMLMTD,
INE942P01013,Diksat Transworld Limited,540151,,
INE01GR01018,Diksha Greens Limited,542155,,
INE650C01036,Diligent Industries Limited,531153,,
INE016M01021,Diligent Media Corporation Limited,540789,DNAMEDIA,
INE917M01012,Dilip Buildcon Limited,540047,DBL,
INE0S6R01027,DINDIGUL FARM PRODUCT LIMITED,544201,,
INE0MC401013,DIPNA PHARMACHEM LIMITED,543594,,
INE131C01011,Disa India Limited,500068,DISAQ,
INE836F01026,Dish TV India Limited,532839,DISHTV,
INE193D01019,DISHA RESOURCES LIMITED,531553,,
INE385W01011,Dishman Carbogen Amcis Limited,540701,DCAL,
INE753U01022,Divgi Torqtransfer Systems Limited,543812,DIVGIITTS,
INE361B01024,Divi's Laboratories Limited,532488,DIVISLAB,
INE410G01010,DIVYASHAKTI LIMITED,526315,,
INE935N01020,Dixon Technologies (India) Limited,540699,DIXON,
INE0B1K01014,DJ Mediaprint & Logistics Limited,543193,DJML,
INE234E01027,DJS Stock & Shares Ltd.,511636,,
INE271C01023,DLF Limited,532868,DLF,
INE505A01010,DMCC SPECIALITY CHEMICALS LIMITED,506405,DMCC,
INE07L501010,DMR ENGINEERING LIMITED,543410,,
INE021O01019,Dodla Dairy Limited,543306,DODLA,
INE966A01022,Dolat Algotech Limited,505526,DOLATALGO,
INE666Y01010,Dolfin Rubbers Limited,542013,,
INE325C01035,Dollar Industries Limited,541403,DOLLAR,
INE0QXT01018,Dolphin Kitchen Utencils and Appliances Limited,544170,,
INE920A01037,Dolphin Offshore Enterprises (India) Limited,522261,DOLPHIN,
INE321T01012,DOMS Industries Limited,544045,DOMS,
INE668D01028,Donear Industries Limited,512519,DONEAR,
INE360C01024,DPSC Limited,,DPSCLTD,
INE934C01018,Dr Agarwals Eye Hospital Limited,526783,DRAGARWQ,
INE871Z01013,DR LALCHANDANI LABS LIMITED,541299,,
INE943P01029,Dr. Agarwal's Health Care Limited,544350,AGARWALEYE,
INE600L01024,Dr. Lal Path Labs Ltd.,539524,LALPATHLAB,Dr. Lal Pathlabs Limited
INE089A01031,Dr. Reddy's Laboratories Limited,500124,DRREDDY,
INE746V01016,DRA CONSULTANTS LIMITED,540144,,
INE03RS01027,DRC Systems India Limited,543268,DRCSYSTEMS,
INE0JS101016,Dreamfolks Services Limited,543591,DREAMFOLKS,
INE506A01018,Dredging Corporation of India Limited,523618,DREDGECORP,
INE0MQD01015,Droneacharya Aerial Innovations Limited,543713,,
INE055C01020,DSJ Keep Learning Limited,526677,KEEPLEARN,
INE0SUM01015,DSM Fresh Foods Limited,544568,,
INF740KA1QK2,DSP Mutual Fund,543388,,
INF740KA1QL0,DSP Mutual Fund,543438,,
INF740KA1CL0,DSP Mutual Fund,543440,,
INF740KA1RX3,DSP Mutual Fund,543738,,
INF740KA1SX1,DSP Mutual Fund,543935,,
INF740KA1SZ6,DSP Mutual Fund,543947,,
INF740KA1SY9,DSP Mutual Fund,543948,,
INF740KA1TA7,DSP Mutual Fund,543949,,
INF740KA1UF4,DSP Mutual Fund,544109,,
INF740KA1UR9,DSP Mutual Fund,544247,,
INF740KA1VE5,DSP Mutual Fund,544352,,
INF740KA1WU9,DSP Mutual Fund,544581,,
INF740KA1WV7,DSP Mutual Fund,544620,,
INF740KA1WX3,DSP Mutual Fund,544654,,
INF740KA1WW5,DSP Mutual Fund,544655,,
INF740KA1XU7,DSP Mutual Fund,544674,,
INF740KA1YH2,DSP Mutual Fund,544725,,
INF740KA1ZA4,DSP Mutual Fund,544760,,
INE741L01018,Ducon Infratechnologies Limited,534674,DUCON,
INE397G01019,Duke Offshore Ltd.,531471,,
INE340F01011,Duncan Engineering Limited,504908,,
INE138B01018,Duropack Ltd,526355,,
INE932D01010,DUROPLY INDUSTRIES LIMITED,516003,,
INE940C01015,Dutron  Polymers Ltd.,517437,,
INE366A01041,Dwarikesh Sugar Industries Limited,532610,DWARKESH,
INE417B01040,Dynacons Systems & Solutions Limited,532365,DSSL,
INE221B01012,Dynamatic Technologies Limited,505242,DYNAMATECH,
INE874E01012,dynamic Archistructures Limited,539681,,
INE600Y01019,Dynamic Cables Limited,540795,DYCL,
INE457C01010,Dynamic Industries Ltd.,524818,,
INE118C01018,Dynamic Protfolio Management & Serv,530779,,
INE083E01010,Dynavision Limited,517238,,
INE256H01015,Dynemic Products Limited,532707,DYNPRO,
INE094R01019,E and E ENTERPRISES LIMITED,501386,,
INE311H01018,E-Land Apparel Limited,532820,,
INE255Z01027,E2E Networks Limited,544783,E2E,
INE1A8F01035,EARKART LIMITED,544549,,
INE0O4V01010,Earthstahl & Alloys Limited,543765,,
INE706N01017,East Buildtech Limited,507917,,
INE315F01013,East Coast Steel Ltd,520081,,
INE191C01023,East India Drums and Barrels Manufacturing Limited,523874,,
INE595R01023,EAST WEST FREIGHT CARRIERS LTD,540006,,
INE962C01035,Eastern Silk Industries Limited,590022,EASTSILK,
INE500D01015,Eastern Treads Ltd.,531346,,
INE771C01014,Easun Capital Markets Limited,542906,,
INE407F01018,EASY FINCORP LIMITED,511074,,
INE07O001026,Easy Trip Planners Limited,543272,EASEMYTRIP,
INE738I01010,eClerx Services Limited,532927,ECLERX,
INE638N01012,ECO HOTELS AND RESORTS LIMITED,514402,,
INE316A01038,Eco Recycling Limited,530643,,
INE866A01016,Ecoboard Industries Ltd,523732,,
INE937K01014,Econo Trade (India) Limited,538708,,
INE423D01010,Ecoplast Ltd.,526703,,
INE06HJ01020,Ecos (India) Mobility & Hospitality Limited,544239,ECOSMOBLTY,
INE925Q01024,ECS Biztech Limited,540063,,
INE532F01054,Edelweiss Financial Services Limited,532922,EDELWEISS,
INF754K01TX4,Edelweiss Mutual Fund,544326,,
INF754K01VY8,Edelweiss Mutual Fund,544618,,
INF754K01XF3,Edelweiss Mutual Fund,544761,,
INE125G01014,Edvenswa Enterprises Limited,517170,,
INE886D01026,EFC (I) Limited,512008,EFCIL,
INE355H01015,EFORU ENTERTAINMENT LIMITED,531190,,
INE066A01021,Eicher Motors Limited,505200,EICHERMOT,
INE126A01031,EID Parry India Limited,500125,EIDPARRY,E.I.D. Parry (India) Ltd.
INE0KSN01014,Eighty Jewellers Limited,543518,,
INE276C01014,EIH Associated Hotels Limited,523127,EIHAHOTELS,
INE230A01023,EIH Limited,500840,EIHOTEL,
INE666Q01016,EIKO LIFESCIENCES LIMITED,540204,,
INE158B01016,Eimco Elecon (India) Limited,523708,EIMCOELECO,
INE906L01025,Ekam Leasing & Finance Co. Ltd.,530581,,
INE005E01013,Ekansh Concepts Limited,531364,,
INE0KCM01010,Ekennis Software Service Limited,543475,,
INE0CPR01018,EKI Energy Services Limited,543284,,
INE927X01018,EL CID Investments Limited,503681,ELCIDIN,Elcid Investments Ltd.
INE158F01017,El Forge Ltd.,531144,,
INE594D01018,Elango Industries Ltd,513452,,
INE280B01018,Elantas Beck India Limited,500123,ELANTAS,
INE668G01021,Eldeco Housing And Industries Limited,523329,ELDEHSG,Eldeco Housing & Ind. Ltd.
INE205B01031,Elecon Engineering Company Limited,505700,ELECON,Elecon Engineering Co.Ltd.
INE02YR01019,Electronics Mart India Limited,543626,EMIL,
INE086A01029,Electrosteel Castings Limited,500128,ELECTCAST,
INE822G01016,Electrotherm (India) Limited,526608,ELECTHERM,
INE152E01013,Elegant Floriculture & Agrotech (In,526473,,
INE095B01010,Elegant Marbles & Grani Industries,526705,,
INE1FEW01013,Elfin Agro India Limited,544724,,
INE285A01027,Elgi Equipments Limited,522074,ELGIEQUIP,
INE819L01012,Elgi Rubber Company Limited,,ELGIRUBCO,
INE050401020,Elin Electronics Limited,543725,ELIN,
INE669R01026,Elitecon International Limited,539533,ELITECON,
INE785D01012,Elixir Capital Limited,531278,,
INE236E01022,Ellenbarrie Industrial Gases Limited,544421,ELLEN,
INE033C01019,Elnet Technologies Ltd.,517477,,
INE579B01039,Elpro International Limited,504000,ELPROINTL,
INE279D01016,Ema India Ltd.,522027,,
INE548C01032,Emami Limited,531162,EMAMILTD,
INE830C01026,Emami Paper Mills Limited,533208,EMAMIPAP,
INE778K01012,Emami Realty Limited,533218,EMAMIREAL,
INE069I01010,Embassy Developments Limited,532832,EMBDL,
INE168P01015,Emcure Pharmaceuticals Limited,544210,EMCURE,
INE030Q01015,Emerald Finance Limited,538882,,
INE044N01021,Emerald Leisures Limited,507265,,
INE668L01013,EMERGENT INDUSTRIAL SOLUTIONS LIMITED,506180,,
INE1OSW01015,EMIAC TECHNOLOGIES LIMITED,544747,,
INE296H01011,Emkay Global Financial Services Limited,532737,EMKAY,
INE753K01015,Emmbi Industries Limited,533161,EMMBI,
INE634B01016,Emmessar Biotech & Nutrition Ltd.,524768,,
INE0SDC01012,EMMFORCE AUTOTECH LIMITED,544166,,
INE1C6T01020,Emmvee Photovoltaic Power Limited,544608,EMMVEE,
INE515H01014,Empire Industries Ltd.,509525,,
INE507F01023,Empower India Limited,504351,EMPOWER,
INE554H01021,EMROCK CORPORATION LIMITED,531676,,
INE0OV601013,EMS Limited,543983,EMSLIMITED,
INE01QM01018,eMudhra Limited,543533,EMUDHRA,
INE993I01029,Enbee Trade & Finance Ltd.,512441,,
INE900O01014,ENCODE PACKAGING INDIA LIMITED,530733,,
INE913H01037,Endurance Technologies Limited,540153,ENDURANCE,
INE306C01019,Energy Development Company Limited,532219,ENERGYDEV,
INE510A01028,Engineers India Limited,532178,ENGINERSIN,
INE130L01014,Enkei wheels (India) Limited,533477,,
INE010601016,Entero Healthcare Solutions Limited,544122,ENTERO,
INE439G01019,Enterprise International Limited,526574,,
INE265F01028,Entertainment Network (India) Limited,532700,ENIL,
INE601C01013,Envair Electrodyne Ltd.,500246,,
INE0LLY01014,Enviro Infra Engineers Limited,544290,EIEL,
INE0D2I01014,EP BIOCOMPOSITES LIMITED,543595,,
INE0G5901015,EPACK Durable Limited,544095,EPACK,
INE0MLS01022,EPack Prefab Technologies Limited,544540,EPACKPEB,
INE932F01015,EPIC Energy Ltd.,530407,,
INE071N01016,Epigral Limited,543332,EPIGRAL,
INE255A01020,EPL Limited,500135,EPL,
INE601F01016,Epsom Properties Limited,531155,,
INE807D01030,EPUJA SPIRITECH LIMITED,532092,,
INE060N01019,EQUILATERAL ENTERPRISES LIMITED,531262,,
INE217G01035,Equippp Social Impact Technologies Limited,590057,EQUIPPP,
INE063P01018,Equitas Small Finance Bank Limited,543243,EQUITASBNK,
INE432F01032,ERAAYA LIFESPACES LIMITED,531035,,
INE406M01024,Eris Lifesciences Limited,540596,ERIS,
INE308B01017,ERP Soft Systems Ltd.,530909,,
INE404L01039,Esaar (India) Ltd.,531502,,
INE284A01012,Esab India Limited,500133,ESABINDIA,
INE818W01011,ESAF Small Finance Bank Limited,544020,ESAFSFB,
INE953W01016,Escorp Asset Management Limited,540455,,
INE042A01014,Escorts Kubota Limited,500495,ESCORTS,
INE328F01016,Esha Media Research Limited,531259,,
INE176O01011,ESPIRE HOSPITALITY LIMITED,532016,,
INE0HMN01013,Esquire Money Guarantees Ltd,512439,,
INE122M01019,Essar Shipping Limited,533704,ESSARSHPNG,
INE1IBY01019,ESSEX MARINE LIMITED,544475,,
INE778B01029,Ester Industries Limited,500136,ESTER,
INE758T01015,ETERNAL LIMITED,543320,ETERNAL,
INE04TZ01018,Ethos Limited,543532,ETHOSLTD,
INE0PYT01018,Euphoria Infotech (India) Limited,544094,,
INE0KCE01017,Eureka Forbes Limited,543482,EUREKAFORB,
INE958A01011,Eureka Industries Ltd.,521137,,
INE546V01010,Euro India Fresh Foods Limited,,EIFFL,
INE940E01011,Euro Leder Fashion Ltd.,526468,,
INE505V01016,Euro Panel Products Limited,544461,EUROBOND,
INE198501012,Euro Pratik Sales Limited,544519,EUROPRATIK,
INE022C01012,Eurotex Industries and Exports Limited,521014,EUROTEXIND,Eurotex Industries & Exports Ltd.
INE06TD01010,EVANS ELECTRIC LIMITED,542668,,
INE128A01029,Eveready Industries India Limited,531508,EVEREADY,
INE295A01018,Everest Industries Limited,508906,EVERESTIND,
INE184H01027,Everest Kanto Cylinder Limited,532684,EKC,Everest Kanto Cylinders Ltd.
INE334C01029,Everest Organics Ltd.,524790,,
INE339D01034,EVERLON FINANCIALS LIMITED,514358,,
INE313M01030,EVEXIA LIFECARE LIMITED,524444,,
INE0JVD01011,Evoq Remedies Limited,543500,,
INE1E4401010,EXATO TECHNOLOGIES LIMITED,544626,,
INE369A01029,Excel Industries Limited,500650,EXCELINDUS,Excell Industries Ltd.
INE606N01019,Excelsoft Technologies Limited,544617,EXCELSOFT,
INE0O8901016,Exhicon Events Media Solutions Limited,543895,,
INE777F01014,Exicom Tele-Systems Limited,544133,EXICOM,
INE302A01020,Exide Industries Limited,500086,EXIDEIND,
INE201K01015,Expleo Solutions Limited,533121,EXPLEOSOL,
INE335G01019,Explicit Finance Limited,530571,,
INE561D01025,EXPO ENGINEERING AND PROJECTS LIMITED,526614,,
INE0GFE01026,Exxaro Tiles Limited,543327,EXXARO,
INE750G01019,EYANTRA VENTURES LIMITED,512099,,
INE108T01021,F MEC INTERNATIONAL FINANCIAL SERVICES LIMITED,539552,,
INE0Q9W01015,Faalcon Concepts Limited,544164,,
INE0DRT01018,FABINO ENTERPRISES LIMITED,543444,,
INE0HSD01011,FABTECH TECHNOLOGIES CLEANROOMS LIMITED,544332,,
INE0HF201011,Fabtech Technologies Limited,544558,FABTECH,
INE828G01013,FACOR Alloys Limited,532656,,
INE0DNW01011,Fairchem Organics Limited,543252,FAIRCHEMOR,
INE146N01016,FAMILY CARE HOSPITALS LIMITED,516110,,
INE963C01033,Faze Three Limited,530079,FAZE3Q,
INE512B01022,FCS Software Solutions Limited,532666,FCSSOFT,
INE258B01022,FDC Limited,531599,FDC,
INE007N01010,Fedbank Financial Services Limited,544027,FEDFINA,
INE417D01020,Fedders Holding Limited,511628,FEDDERSHOL,
INE529A01010,Federal-Mogul Goetze (India) Limited.,505744,FMGOETZE,
INE225B01021,Fermenta Biotech Limited,506414,FERMENTA,
INE188A01015,Fertilizers and Chemicals Travancore Limited,590024,FACT,
INE258M01011,Fervent Synergies Limited,533896,,
INE512A01016,FGP Ltd,500142,,
INE296C01020,Fiberweb (India) Limited,507910,FIBERWEB,
INE737H01014,Fiem Industries Limited,532768,FIEMIND,
INE185E01021,Filatex Fashions Limited,532022,FILATFASH,
INE816B01035,Filatex India Limited,526227,FILATEX,
INE600B01033,Filmcity Media Ltd.,531486,,
INE541R01019,Filtra Consultants and Engineers Limited,539098,,
INE686Y01026,Fine Organic Industries Limited,541557,FINEORG,
INE087E01011,Fine-line Circuits Ltd.,517264,,
INE0QOQ01013,Finelistings Technologies Limited,544173,,
INE045J01034,Fineotex Chemical Limited,533333,FCL,
INE734I01027,Finkurve Financial Services Limited,508954,FINKURVE,
INE02NC01014,Fino Payments Bank Limited,543386,FINOPB,
INE235A01022,Finolex Cables Limited,500144,FINCABLES,
INE183A01024,Finolex Industries Limited,500940,FINPIPE,
INE609B01018,First Custodian Fund (India) Ltd.,511122,,
INE683B01047,FIRST FINTEC LIMITED,532379,,
INE684F01012,Firstsource Solutions Limited,532809,FSL,
INE771F01041,Fischer Medical Ventures Limited,524743,FISCHER,
INE128S01021,Five-Star Business Finance Limited,543663,FIVESTAR,
INE00Y201027,Flair Writing Industries Limited,544030,FLAIR,
INE954B01018,Flex Foods Ltd.,523672,,
INE060J01017,Flexituff Ventures International Limited,533638,FLEXITUFF,
INE952M01019,FLOMIC GLOBAL LOGISTICS LIMITED,504380,,
INE318U01016,Flora Corporation Limited,540267,,
INE459C01016,Fluidomat Ltd.,522017,,
INE0DXR01010,Focus Business Solution Limited,543312,,
INE593W01028,Focus Lighting and Fixtures Limited,,FOCUS,
INE0L3H01014,Fone4 Communications (India) Limited,543521,,
INE976E01023,Foods & Inns Limited,507552,FOODSIN,
INE518A01013,Forbes & Company Ltd,502865,,
INE0TT901016,Forbes Precision Tools and Machine Parts Limited,544186,,
INE451A01017,FORCE MOTORS LTD,500033,FORCEMOT,
INE061F01013,Fortis Healthcare Limited,532843,FORTIS,
INE842B01015,Fortis Malar Hospitals Limited,523696,,
INE501D01013,Fortune International Ltd.,530213,,
